tau1,tau2,num-tau1,num-tau2,id-tau1,id-tau2
-13,0,1,3,-13,0
0,10,5,2,10,1
1,1,6,2,11,1
2,1,2,2,1,1
-11,1,0,4,-11,2
10,1,5,2,10,1
11,-13,6,1,11,-13
1,0,2,3,1,0
3,1,2,2,1,1
1,1,2,2,1,1
-11,-11,0,0,-11,-11
11,1,5,2,10,1
2,2,2,2,1,1
1,-11,2,0,1,-11
1,2,2,4,1,2
1,0,2,3,1,0
-11,11,0,5,-11,10
1,1,2,2,1,1
3,1,4,2,2,1
-13,10,1,5,-13,10
1,-11,2,0,1,-11
1,0,2,3,1,0
-13,1,1,2,-13,1
-13,-13,1,1,-13,-13
0,2,3,2,0,1
1,-13,0,1,-11,-13
1,1,2,2,1,1
1,-11,2,0,1,-11
1,-11,2,0,1,-11
-13,-11,1,0,-13,-11
-11,0,0,3,-11,0
2,2,2,4,1,2
10,-11,5,0,10,-11
2,2,4,4,2,2
-11,1,0,2,-11,1
-13,-11,0,7,-11,-222
10,-11,5,0,10,-11
0,1,8,2,-333,1
0,0,3,3,0,0
-11,1,0,2,-11,1
1,2,6,4,11,2
2,3,6,4,11,2
-13,1,1,5,-13,10
-13,3,1,4,-13,2
-11,10,0,2,-11,1
0,1,3,2,0,1
1,11,2,6,1,11
1,1,2,4,1,2
-11,1,0,2,-11,1
0,-11,3,0,0,-11
-13,0,1,3,-13,0
-13,-11,1,0,-13,-11
1,0,2,3,1,0
-11,-11,0,0,-11,-11
2,0,2,3,1,0
1,1,4,2,2,1
-11,1,0,2,-11,1
1,-11,2,0,1,-11
11,10,5,5,10,10
10,2,5,4,10,2
10,-13,5,1,10,-13
0,-13,3,1,0,-13
1,0,2,3,1,0
1,1,5,2,10,1
1,-13,2,1,1,-13
0,-11,3,0,0,-11
1,1,2,2,1,1
2,-11,2,0,1,-11
1,1,2,2,1,1
-13,1,1,2,-13,1
2,-11,4,2,2,1
-13,-13,1,1,-13,-13
-13,1,1,2,-13,1
0,-13,3,1,0,-13
2,0,2,5,1,10
-13,0,1,3,-13,0
-11,1,0,2,-11,1
1,-13,2,1,1,-13
2,1,4,2,2,1
-11,-13,8,1,-333,-13
2,-13,2,1,1,-13
10,-11,5,0,10,-11
11,1,5,2,10,1
-11,1,0,2,-11,1
-13,-11,1,0,-13,-11
-13,0,1,3,-13,0
-11,11,0,4,-11,2
10,-11,5,0,10,-11
-13,1,1,2,-13,1
1,-13,2,1,1,-13
-11,2,0,2,-11,1
1,1,2,4,1,2
2,2,4,6,2,11
2,-13,2,1,1,-13
2,-11,2,0,1,-11
2,1,4,2,2,1
10,-11,5,0,10,-11
-11,-11,0,0,-11,-11
1,-11,2,0,1,-11
-11,-13,0,1,-11,-13
0,1,0,6,-11,11
1,11,2,6,1,11
1,-13,3,1,0,-13
-11,1,0,2,-11,1
1,0,2,3,1,0
-13,-11,1,2,-13,1
2,0,2,3,1,0
